store,address,date,review_cnt
% Arabica(Wukang Road),上海徐汇区武康路376号武康庭1楼112,10/11/2025,15
% Arabica(Wukang Road),上海徐汇区武康路376号武康庭1楼112,10/10/2025,31
% Arabica(Wukang Road),上海徐汇区武康路376号武康庭1楼112,10/09/2025,33
% Arabica(Wukang Road),上海徐汇区武康路376号武康庭1楼112,10/08/2025,15
% Arabica(Wukang Road),上海徐汇区武康路376号武康庭1楼112,10/07/2025,9
% Arabica(Wukang Road),上海徐汇区武康路376号武康庭1楼112,10/06/2025,9
% Arabica(Hongqiao Airport T2),申达三路上海虹桥国际机场2号航站楼3楼出发层控制区南三角D50-27A号商铺,10/11/2025,60
% Arabica(Hongqiao Airport T2),申达三路上海虹桥国际机场2号航站楼3楼出发层控制区南三角D50-27A号商铺,10/10/2025,43
% Arabica(Hongqiao Airport T2),申达三路上海虹桥国际机场2号航站楼3楼出发层控制区南三角D50-27A号商铺,10/09/2025,43
% Arabica(Hongqiao Airport T2),申达三路上海虹桥国际机场2号航站楼3楼出发层控制区南三角D50-27A号商铺,10/08/2025,33
% Arabica(Hongqiao Airport T2),申达三路上海虹桥国际机场2号航站楼3楼出发层控制区南三角D50-27A号商铺,10/07/2025,24
% Arabica(Hongqiao Airport T2),申达三路上海虹桥国际机场2号航站楼3楼出发层控制区南三角D50-27A号商铺,10/06/2025,19
% Arabica(Jianguoxi Road),建国西路481号,10/11/2025,3
% Arabica(Jianguoxi Road),建国西路481号,10/10/2025,5
% Arabica(Jianguoxi Road),建国西路481号,10/09/2025,22
% Arabica(Jianguoxi Road),建国西路481号,10/08/2025,6
% Arabica(Jianguoxi Road),建国西路481号,10/07/2025,4
% Arabica(Jianguoxi Road),建国西路481号,10/06/2025,3
% Arabica(Zhonghuan),瑞宁路238号（星美术馆对面）,10/11/2025,12
% Arabica(Zhonghuan),瑞宁路238号（星美术馆对面）,10/10/2025,23
% Arabica(Zhonghuan),瑞宁路238号（星美术馆对面）,10/09/2025,9
% Arabica(Zhonghuan),瑞宁路238号（星美术馆对面）,10/08/2025,18
% Arabica(Zhonghuan),瑞宁路238号（星美术馆对面）,10/07/2025,13
% Arabica(Zhonghuan),瑞宁路238号（星美术馆对面）,10/06/2025,30
% Arabica(Bisite Shopping Village),申迪东路88号比斯特上海购物村月牙畔1308号,10/11/2025,30
% Arabica(Bisite Shopping Village),申迪东路88号比斯特上海购物村月牙畔1308号,10/10/2025,33
% Arabica(Bisite Shopping Village),申迪东路88号比斯特上海购物村月牙畔1308号,10/09/2025,30
% Arabica(Bisite Shopping Village),申迪东路88号比斯特上海购物村月牙畔1308号,10/08/2025,17
% Arabica(Bisite Shopping Village),申迪东路88号比斯特上海购物村月牙畔1308号,10/07/2025,31
% Arabica(Bisite Shopping Village),申迪东路88号比斯特上海购物村月牙畔1308号,10/06/2025,41
