store,address,date,review_cnt
Starbucks (Kerry Center),上海静安区南京西路1515号嘉里中心商场e1-03,10/11/2025,20
Starbucks (Kerry Center),上海静安区南京西路1515号嘉里中心商场e1-03,10/10/2025,12
Starbucks (Kerry Center),上海静安区南京西路1515号嘉里中心商场e1-03,10/09/2025,16
Starbucks (Kerry Center),上海静安区南京西路1515号嘉里中心商场e1-03,10/08/2025,19
Starbucks (Kerry Center),上海静安区南京西路1515号嘉里中心商场e1-03,10/07/2025,8
Starbucks (Kerry Center),上海静安区南京西路1515号嘉里中心商场e1-03,10/06/2025,9
Starbucks (Meiluo City),上海徐汇区肇家兵路1111号219单元,10/11/2025,46
Starbucks (Meiluo City),上海徐汇区肇家兵路1111号219单元,10/10/2025,32
Starbucks (Meiluo City),上海徐汇区肇家兵路1111号219单元,10/09/2025,30
Starbucks (Meiluo City),上海徐汇区肇家兵路1111号219单元,10/08/2025,26
Starbucks (Meiluo City),上海徐汇区肇家兵路1111号219单元,10/07/2025,28
Starbucks (Meiluo City),上海徐汇区肇家兵路1111号219单元,10/06/2025,38
Starbucks (Shimao Festival City),上海黄浦区南京东路829号G05商铺,10/11/2025,11
Starbucks (Shimao Festival City),上海黄浦区南京东路829号G05商铺,10/10/2025,20
Starbucks (Shimao Festival City),上海黄浦区南京东路829号G05商铺,10/09/2025,16
Starbucks (Shimao Festival City),上海黄浦区南京东路829号G05商铺,10/08/2025,14
Starbucks (Shimao Festival City),上海黄浦区南京东路829号G05商铺,10/07/2025,15
Starbucks (Shimao Festival City),上海黄浦区南京东路829号G05商铺,10/06/2025,12
Starbucks (Shengzhuang),上海闵行区都市路5001号仲盛世界商城1层GF12商铺,10/11/2025,12
Starbucks (Shengzhuang),上海闵行区都市路5001号仲盛世界商城1层GF12商铺,10/10/2025,6
Starbucks (Shengzhuang),上海闵行区都市路5001号仲盛世界商城1层GF12商铺,10/09/2025,4
Starbucks (Shengzhuang),上海闵行区都市路5001号仲盛世界商城1层GF12商铺,10/08/2025,7
Starbucks (Shengzhuang),上海闵行区都市路5001号仲盛世界商城1层GF12商铺,10/07/2025,9
Starbucks (Shengzhuang),上海闵行区都市路5001号仲盛世界商城1层GF12商铺,10/06/2025,8
Starbucks (Baiyulan Square),东长治路588号白玉兰广场商场1楼16号商铺,10/11/2025,19
Starbucks (Baiyulan Square),东长治路588号白玉兰广场商场1楼16号商铺,10/10/2025,20
Starbucks (Baiyulan Square),东长治路588号白玉兰广场商场1楼16号商铺,10/09/2025,20
Starbucks (Baiyulan Square),东长治路588号白玉兰广场商场1楼16号商铺,10/08/2025,22
Starbucks (Baiyulan Square),东长治路588号白玉兰广场商场1楼16号商铺,10/07/2025,23
Starbucks (Baiyulan Square),东长治路588号白玉兰广场商场1楼16号商铺,10/06/2025,11
Starbucks (Huaihai Mall),淮海中路918号,10/11/2025,13
Starbucks (Huaihai Mall),淮海中路918号,10/10/2025,15
Starbucks (Huaihai Mall),淮海中路918号,10/09/2025,13
Starbucks (Huaihai Mall),淮海中路918号,10/08/2025,15
Starbucks (Huaihai Mall),淮海中路918号,10/07/2025,14
Starbucks (Huaihai Mall),淮海中路918号,10/06/2025,11
